sea_surface_temperature,lat,lon
-0.31894,-0.4616656,-0.56154895
-0.19189055,-6.2498307,-1.1220629
1.5657681,1.380211,2.0639887
-1.1325374,-5.8585615,-0.00678537
0.11457006,-6.2753057,-0.44828707
-3.2372992,2.068377,-2.2630925
0.113387085,-5.966404,-1.8903079
-0.58034027,-0.19124177,-0.4553133
-2.1436834,5.4378395,-1.8870031
-0.90772563,-5.2925005,-0.4203911
-1.1288666,-4.280176,-0.8517058
0.31626442,-5.9961247,-1.3523124
-2.0481036,3.1680532,-1.958978
0.16497748,-3.8920586,-1.5459046
-1.1907344,2.1306505,2.3773482
-3.1271687,-3.1941009,-0.97961146
-0.42129466,0.2616735,-0.33284217
-1.1095678,-5.7577453,-0.30918548
0.005916927,-6.035393,-0.4376136
-0.9622361,-5.9308887,0.069500625
0.43601468,-0.9762932,0.09746219
-0.16284968,-6.4509044,0.020579852
3.0317492,1.1213051,0.79465735
-1.2944716,3.0476143,2.1173415
0.26656702,1.3841095,0.37703842
2.3619087,1.367245,1.1154581
-1.70981,-3.794888,0.3103755
-0.9709645,-5.8171887,-0.23434713
0.43430412,-1.4115511,-2.690387
1.0281334,4.297197,1.6574097
0.75301933,-5.5734563,-2.067179
-0.7879751,-5.6576896,-1.1525451
-0.76542634,4.268052,1.2235637
-0.2886234,-1.6067315,-1.5784903
0.74469537,-0.79110456,-1.1705624
2.729651,1.6616584,0.24035023
-1.3216702,2.8783183,-2.4960265
0.20409334,-0.22912626,-0.6400924
0.304181,4.3014364,0.80548495
-1.174778,-3.7866244,-0.6831
0.7448563,1.4725754,-1.6785597
-0.5954915,4.5938315,0.9195453
0.733352,-5.955874,-0.28135207
-3.0845995,-3.241944,0.115973845
-1.6603423,-2.816888,-0.68832505
-1.0426985,-5.811774,-0.3220255
-0.81686074,3.2613702,-2.144705
-0.84473884,-6.1747518,-0.63362914
-2.1065724,2.226003,-0.8853641
-0.9578774,-4.399005,-0.34743914
-2.3900042,-2.6407118,0.19788553
-1.9892548,-3.224021,-0.8479091
1.3179122,-0.88298905,-0.62326473
1.7853092,1.9041789,0.8631139
0.04726001,-4.574315,-1.0390618
-0.29633054,5.7907,1.0023946
-0.7006812,-2.9082282,-0.6798831
0.29651806,-6.3705873,-1.2271053
-1.0978955,-4.1717205,-0.8672783
-1.437456,-5.582464,0.2603021
-0.63140225,5.7652507,0.9139527
-1.5505952,1.4075772,-2.4162934
-0.41475463,-3.2374954,-0.9342534
-2.4889536,3.4744549,-1.524077
1.3176352,4.6435375,0.69819546
-1.1151724,-5.9799924,-0.16403012
-3.3360565,-4.413121,0.6220434
0.053580552,-6.17646,-0.34420994
1.9140216,1.6922772,0.67148685
0.038596347,-6.2487044,-0.07590432
-0.91677046,-6.6154175,1.057065
-0.5208916,3.7190235,1.1447724
-0.9477267,-5.5434513,-1.3090938
-1.5487182,-3.025083,-1.4479629
-0.26626804,-6.3553166,-0.0008514705
-2.084333,-3.8849022,0.17203012
-0.436067,-4.14325,-1.0539585
-2.0063612,-3.9380612,0.1472172
2.3831277,1.5938736,0.51698405
0.67958057,0.8419992,0.3744686
-1.2936486,3.4115613,2.211038
-0.060222317,-6.27192,0.19866881
-0.8135355,-4.0210195,-2.0975103
0.0013750375,-0.8377922,-1.2220998
-2.0996785,-3.033204,0.18590821
-1.0644306,-5.5120387,-0.2568218
-3.3192313,-2.2944741,0.3560386
-0.80713034,-6.1436086,-0.6496885
-1.24506,-6.287747,1.1834021
-0.7037044,-3.4571197,-0.73283416
0.09467617,-6.2114615,-0.35030448
-2.8266351,-2.834347,-0.038800072
-2.3478134,1.9900045,-2.245442
